Beds,SqFt,Built,Garage,FullBaths,HalfBaths,LotSqFt,AboveMeanPrice
4,2053,1977,2,2,1,8276,0
4,2433,1977,2,2,1,10890,0
4,2011,1974,0,3,0,10019,0
4,5151,2012,3,4,1,4792,1
5,4322,2002,2,4,0,10890,1
3,2452,2008,2,3,0,4792,1
3,2703,2006,2,2,1,5663,1
4,2746,1993,2,3,1,9148,1
3,2618,1993,2,3,1,7841,1
4,2782,1993,2,3,1,6970,1
3,1888,1991,2,2,0,6098,1
4,3168,1991,2,3,1,15682,1
5,3750,1993,2,3,1,13504,1
4,2338,1994,2,2,1,11761,1
4,4594,1992,2,2,1,11326,1
4,4639,1996,2,4,1,10019,1
5,5652,2001,2,3,1,9583,1
4,4545,2001,2,3,1,8276,1
6,5204,2001,2,5,0,13504,1
5,4001,2002,2,3,1,11761,1
3,1856,1971,1,2,1,8712,0
5,6816,2003,3,5,1,43996,1
5,7645,2003,3,5,1,33106,1
3,4060,2006,2,3,1,12197,1
4,5598,2003,3,4,1,10890,1
5,4482,1999,2,3,1,12197,1
5,7696,2005,3,5,1,10019,1
4,3583,2001,2,3,1,4792,1
4,6706,2013,3,5,1,16117,1
4,3328,1969,2,3,1,22216,1
4,2172,1973,0,3,0,10454,1
4,2593,1986,1,3,1,9148,1
3,2036,1985,1,2,1,10454,0
4,2373,1984,1,3,0,10019,1
5,6096,2002,2,5,1,19602,1
5,5400,2002,2,4,0,16117,1
3,1260,1968,1,2,0,9583,0
4,2159,1973,1,3,0,9148,0
3,912,1966,1,1,0,8276,0
5,1864,1971,1,3,0,8276,0
4,2233,1973,2,2,1,8276,0
3,960,1963,2,2,0,12197,0
3,2167,1970,0,2,0,9148,0
4,1584,1965,0,2,0,8712,0
3,1456,1972,0,2,0,8712,0
4,2408,1973,0,2,1,12632,0
4,1762,1962,0,2,0,10890,0
4,1456,1971,0,2,0,10454,0
4,2468,1974,0,2,1,10019,0
4,3534,2003,2,3,1,4792,1
3,1556,1971,2,2,1,8712,0
5,2040,1974,2,2,1,8712,0
5,2040,1971,2,2,1,7405,0
4,1556,1973,2,2,1,10019,0
4,2872,1980,2,2,1,8712,0
4,3533,1995,2,3,1,14375,1
4,1739,1954,0,2,1,6098,1
2,1096,1900,0,2,0,12632,0
3,1297,1983,2,2,0,5663,1
4,4960,2017,2,4,1,10890,1
5,4304,2013,2,3,1,10454,1
4,3923,2014,2,3,1,10019,1
6,6458,2015,3,4,1,12632,1
5,8000,2015,3,6,1,67082,1
3,1576,1987,1,2,0,3920,0
4,4406,1997,2,4,1,13939,1
4,3812,1995,2,3,1,13068,1
2,1356,1945,0,1,1,2614,0
5,4029,1912,1,4,1,33106,1
4,1899,1976,1,3,0,20038,0
4,1947,1964,1,2,1,12632,0
4,2518,1979,2,2,1,9583,0
4,1584,1986,2,3,0,9583,1
4,3061,2003,2,3,1,9583,1
5,3424,1992,2,3,1,9148,1
4,3563,1995,2,2,1,9148,1
5,3500,1994,2,3,1,8712,1
4,4830,2015,2,4,1,7841,1
4,3729,2003,2,3,1,6098,1
4,2867,2014,2,3,1,3920,1
4,3876,2004,2,4,0,872071,1
5,4480,2018,2,4,0,4791,1
3,1192,1955,2,1,0,194278,1
4,2946,1993,2,3,1,31799,1
4,2960,1992,2,2,1,18731,1
4,5375,2000,2,4,1,16988,1
5,4617,2005,2,4,1,14810,1
5,3871,2013,2,3,1,14810,1
4,3552,1988,2,3,1,14375,1
6,6330,2004,2,5,1,14375,1
4,4420,2003,2,4,1,13504,1
4,3238,1992,2,2,1,12632,1
4,4116,1989,2,4,1,12197,1
4,2332,1982,2,3,1,11326,1
5,3306,2000,2,2,1,10890,1
4,3162,1998,2,3,1,10019,1
5,5345,2004,2,4,1,10019,1
5,5172,2004,2,4,1,10019,1
3,4153,2011,2,2,1,10019,1
3,2196,1988,3,2,1,505296,1
5,5884,2007,3,5,1,44867,1
4,4458,2003,3,3,1,37462,1
4,7486,2004,3,5,1,28750,1
4,6738,2000,3,4,1,22216,1
6,5955,2003,3,5,1,16117,1
5,6215,2011,3,4,1,15682,1
4,2520,1976,0,2,0,65340,1
4,2780,1967,2,3,1,47480,1
4,3430,2013,0,4,1,43560,1
3,1346,1977,0,2,0,15682,0
5,3696,2002,2,3,1,11326,1
4,2491,1974,0,3,0,10019,1
